composer,displayName,period
"Vaughan Williams, Ralph",Vaughan Williams,20th
"Smetana, Bedřich",Smetana,romantic
"Bach, Johann Sebastian","JS Bach",baroque
"Praetorius, Michael",Praetorius,early
"Bach, Carl Philipp Emanuel","CPE Bach",classical
"Offenbach, Jacques",Offenbach,romantic
"Paganini, Niccolò",Paganini,romantic
"Weelkes, Thomas",Weelkes,early
"Mahler, Gustav",Mahler,romantic
"Fauré, Gabriel",Fauré,romantic
"Pergolesi, Giovanni Battista",Pergolesi,baroque
"Monteverdi, Claudio",Monteverdi,early
"Meyerbeer, Giacomo",Meyerbeer,baroque
"Bruckner, Anton",Bruckner,romantic
"Borodin, Aleksandr",Borodin,romantic
"Bartók, Béla",Bartók,20th
"Dvořák, Antonín",Dvořák,romantic
"Beethoven, Ludwig van",Beethoven,classical
"Byrd, William",Byrd,early
"Franck, César",Franck,romantic
"Mendelssohn, Felix",Mendelssohn,romantic
"Mozart, Wolfgang Amadeus",Mozart,classical
"Puccini, Giacomo",Puccini,romantic
"Sibelius, Jean",Sibelius,20th
"Holst, Gustav",Holst,20th
"Wagner, Richard",Wagner,romantic
"Victoria, Tomás Luis de",Victoria,early
"Dowland, John",Dowland,early
"Berg, Alban",Berg,20th
"Couperin, François",Couperin,baroque
"Gabrieli, Giovanni",Gabrieli,baroque
"Saint-Saëns, Camille",Saint-Saëns,romantic
"Rossini, Gioacchino",Rossini,romantic
"Scarlatti, Alessandro","A. Scarlatti",baroque
"Bellini, Vincenzo",Bellini,romantic
"Berlioz, Hector",Berlioz,romantic
"Binchois, Gilles",Binchois,early
"Bizet, Georges",Bizet,romantic
"Brahms, Johannes",Brahms,romantic
"Caccini, Giulio",Caccini,baroque
"Chopin, Frédéric",Chopin,romantic
"Satie, Erik",Satie,20th
"Webern, Anton",Webern,20th
"Corelli, Arcangelo",Corelli,baroque
"Debussy, Claude",Debussy,20th
"Vitry, Philippe de",Vitry,early
"Donizetti, Gaetano",Donizetti,romantic
"Scarlatti, Domenico","D. Scarlatti",baroque
"Dufay, Guillaume",Dufay,early
"Dunstaple, John",Dunstaple,early
"Elgar, Edward",Elgar,romantic
"Frescobaldi, Girolamo",Frescobaldi,baroque
"Gesualdo, Carlo",Gesualdo,early
"Gibbons, Orlando",Gibbons,early
"Gluck, Christoph Willibald",Gluck,classical
"Gounod, Charles",Gounod,romantic
"Grieg, Edvard",Grieg,romantic
"Handel, George Frideric",Handel,baroque
"Haydn, Joseph",Haydn,classical
"Hindemith, Paul",Hindemith,20th
"Ives, Charles",Ives,20th
Josquin Desprez,Josquin Desprez,early
"Lassus, Orlande de",Lassus,early
"Liszt, Franz",Liszt,romantic
"Lully, Jean-Baptiste",Lully,baroque
"Machaut, Guillaume de",Machaut,early
"Morley, Thomas",Morley,early
"Mussorgsky, Modest",Mussorgsky,romantic
"Ockeghem, Johannes",Ockeghem,early
"Palestrina, Giovanni Pierluigi da",Palestrina,early
"Purcell, Henry",Purcell,baroque
"Rachmaninoff, Sergei",Rachmaninoff,romantic
"Rameau, Jean-Philippe",Rameau,baroque
"Ravel, Maurice",Ravel,20th
"Rimsky-Korsakov, Nikolay",Rimsky-Korsakov,romantic
"Strauss, Richard",Strauss,romantic
"Schoenberg, Arnold",Schoenberg,20th
"Schubert, Franz",Schubert,romantic
"Schumann, Robert",Schumann,romantic
"Schütz, Heinrich",Schütz,baroque
"Scriabin, Aleksandr",Scriabin,20th
"Stamitz, Carl Philipp",Stamitz,classical
"Stravinsky, Igor",Stravinsky,20th
"Tallis, Thomas",Tallis,early
"Taverner, John",Taverner,early
"Tchaikovsky, Pyotr",Tchaikovsky,romantic
"Telemann, Georg Philipp",Telemann,baroque
"Verdi, Giuseppe",Verdi,romantic
"Vivaldi, Antonio",Vivaldi,baroque
